image_name,fold
ISIC_2637011,1
ISIC_0015719,3
ISIC_0052212,4
ISIC_0068279,2
ISIC_0074268,3
ISIC_0074311,0
ISIC_0074542,3
ISIC_0075663,3
ISIC_0075914,0
ISIC_0076262,2
ISIC_0076545,1
ISIC_0076742,4
ISIC_0076995,4
ISIC_0077472,3
ISIC_0077735,0
ISIC_0078703,1
ISIC_0078712,1
ISIC_0079038,1
ISIC_0080512,1
ISIC_0080752,0
ISIC_0080817,4
ISIC_0081956,2
ISIC_0082348,2
ISIC_0082543,4
ISIC_0082934,1
ISIC_0083035,2
ISIC_0084086,1
ISIC_0084270,4
ISIC_0084395,0
ISIC_0085172,0
ISIC_0085718,1
ISIC_0085902,4
ISIC_0086349,1
ISIC_0086462,4
ISIC_0086632,2
ISIC_0086709,4
ISIC_0087290,4
ISIC_0087297,2
ISIC_0088137,3
ISIC_0088489,2
ISIC_0089401,0
ISIC_0089569,2
ISIC_0089738,4
ISIC_0090279,4
ISIC_0091016,1
ISIC_0091559,3
ISIC_0091996,4
ISIC_0092726,1
ISIC_0092870,2
ISIC_0094701,1
ISIC_0094755,1
ISIC_0094775,4
ISIC_0095805,2
ISIC_0096201,1
ISIC_0096227,3
ISIC_0096328,3
ISIC_0097499,3
ISIC_0097500,2
ISIC_0097997,1
ISIC_0098198,2
ISIC_0098784,2
ISIC_0099474,4
ISIC_0099546,0
ISIC_0100550,3
ISIC_0103298,0
ISIC_0105145,4
ISIC_0106091,4
ISIC_0109415,1
ISIC_0109568,4
ISIC_0109703,2
ISIC_0109869,1
ISIC_0112097,2
ISIC_0112444,2
ISIC_0112884,1
ISIC_0113820,3
ISIC_0114225,4
ISIC_0120729,3
ISIC_0124849,2
ISIC_0125706,4
ISIC_0134357,3
ISIC_0136526,2
ISIC_0140339,1
ISIC_0147642,0
ISIC_0147817,2
ISIC_0147869,2
ISIC_0148465,0
ISIC_0148643,4
ISIC_0148677,0
ISIC_0148751,4
ISIC_0148783,3
ISIC_0149527,4
ISIC_0149568,0
ISIC_0149698,3
ISIC_0149918,1
ISIC_0150363,3
ISIC_0150975,3
ISIC_0151200,2
ISIC_0152307,2
ISIC_0152823,0
ISIC_0153265,3
ISIC_0153549,3
ISIC_0153589,1
ISIC_0153911,4
ISIC_0153932,0
ISIC_0154032,2
ISIC_0154253,2
ISIC_0154338,2
ISIC_0154813,1
ISIC_0154870,3
ISIC_0154872,0
ISIC_0154880,4
ISIC_0155012,2
ISIC_0155173,4
ISIC_0155273,3
ISIC_0155473,1
ISIC_0155575,2
ISIC_0156460,2
ISIC_0156642,4
ISIC_0156772,1
ISIC_0157530,3
ISIC_0157923,2
ISIC_0158127,2
ISIC_0158187,2
ISIC_0159060,0
ISIC_0159568,3
ISIC_0159663,2
ISIC_0159746,1
ISIC_0159782,1
ISIC_0159996,2
ISIC_0160270,2
ISIC_0160340,2
ISIC_0160455,0
ISIC_0160831,1
ISIC_0161840,3
ISIC_0162627,4
ISIC_0162708,4
ISIC_0162967,0
ISIC_0163110,0
ISIC_0163463,0
ISIC_0163639,0
ISIC_0163765,2
ISIC_0163767,4
ISIC_0163812,0
ISIC_0164145,1
ISIC_0164297,0
ISIC_0164329,4
ISIC_0164388,0
ISIC_0164512,2
ISIC_0164603,1
ISIC_0164809,3
ISIC_0165273,0
ISIC_0165449,2
ISIC_0165903,0
ISIC_0165945,0
ISIC_0166059,1
ISIC_0166202,0
ISIC_0166935,3
ISIC_0166988,4
ISIC_0167093,0
ISIC_0168306,3
ISIC_0168399,3
ISIC_0168418,0
ISIC_0168678,4
ISIC_0169604,0
ISIC_0169687,0
ISIC_0170008,3
ISIC_0170059,0
ISIC_0170101,0
ISIC_0170285,0
ISIC_0170545,4
ISIC_0170583,4
ISIC_0170636,0
ISIC_0170676,4
ISIC_0170696,1
ISIC_0170960,1
ISIC_0171235,4
ISIC_0171946,4
ISIC_0171983,4
ISIC_0172020,1
ISIC_0172163,3
ISIC_0172865,2
ISIC_0172959,3
ISIC_0173137,3
ISIC_0173213,4
ISIC_0173385,4
ISIC_0173485,4
ISIC_0174405,2
ISIC_0174527,2
ISIC_0174903,3
ISIC_0174983,4
ISIC_0175364,1
ISIC_0175486,4
ISIC_0175530,2
ISIC_0175837,2
ISIC_0176577,4
ISIC_0176781,3
ISIC_0177190,1
ISIC_0177304,4
ISIC_0177860,3
ISIC_0178430,3
ISIC_0178744,1
ISIC_0179056,1
ISIC_0179074,4
ISIC_0179104,0
ISIC_0179191,0
ISIC_0179267,1
ISIC_0180194,3
ISIC_0180510,0
ISIC_0180660,0
ISIC_0181017,0
ISIC_0181059,0
ISIC_0181374,1
ISIC_0181445,2
ISIC_0181678,4
ISIC_0182020,4
ISIC_0182730,3
ISIC_0183256,3
ISIC_0183290,2
ISIC_0183925,2
ISIC_0184482,4
ISIC_0184688,3
ISIC_0184944,1
ISIC_0185051,3
ISIC_0185135,2
ISIC_0185177,2
ISIC_0185547,1
ISIC_0185918,0
ISIC_0186161,3
ISIC_0186437,1
ISIC_0186501,2
ISIC_0186820,2
ISIC_0187428,4
ISIC_0187498,1
ISIC_0187812,2
ISIC_0188415,0
ISIC_0188432,1
ISIC_0188926,0
ISIC_0188955,0
ISIC_0189059,0
ISIC_0189333,1
ISIC_0189336,1
ISIC_0189694,3
ISIC_0189837,3
ISIC_0190308,1
ISIC_0190725,2
ISIC_0190870,1
ISIC_0191366,1
ISIC_0191734,3
ISIC_0191871,4
ISIC_0192419,3
ISIC_0192490,2
ISIC_0192596,2
ISIC_0192701,0
ISIC_0192893,0
ISIC_0193456,4
ISIC_0193785,2
ISIC_0193907,0
ISIC_0193920,4
ISIC_0194550,4
ISIC_0194914,1
ISIC_0195078,3
ISIC_0195699,4
ISIC_0195972,2
ISIC_0196273,3
ISIC_0196399,3
ISIC_0196403,1
ISIC_0196502,2
ISIC_0196559,1
ISIC_0196694,3
ISIC_0196945,2
ISIC_0197584,1
ISIC_0197636,2
ISIC_0197873,3
ISIC_0198331,3
ISIC_0198375,2
ISIC_0198392,1
ISIC_0198861,4
ISIC_0199116,3
ISIC_0199261,0
ISIC_0199455,2
ISIC_0199494,4
ISIC_0199538,4
ISIC_0199719,0
ISIC_0200153,4
ISIC_0200174,3
ISIC_0200204,1
ISIC_0200611,3
ISIC_0200921,2
ISIC_0200999,1
ISIC_0201351,4
ISIC_0201689,1
ISIC_0201767,1
ISIC_0202023,2
ISIC_0202120,4
ISIC_0202167,0
ISIC_0202259,0
ISIC_0202576,4
ISIC_0202680,4
ISIC_0202808,0
ISIC_0203016,4
ISIC_0203233,0
ISIC_0204275,0
ISIC_0204355,1
ISIC_0204580,0
ISIC_0204819,0
ISIC_0204994,2
ISIC_0205127,0
ISIC_0205748,3
ISIC_0205926,3
ISIC_0206079,3
ISIC_0206325,0
ISIC_0206442,1
ISIC_0206758,4
ISIC_0207209,3
ISIC_0207268,2
ISIC_0207341,0
ISIC_0207349,3
ISIC_0208378,1
ISIC_0208967,0
ISIC_0209871,1
ISIC_0210282,2
ISIC_0210308,1
ISIC_0210423,1
ISIC_0210830,4
ISIC_0210998,4
ISIC_0212729,0
ISIC_0212774,1
ISIC_0212931,2
ISIC_0213271,2
ISIC_0213336,2
ISIC_0213974,4
ISIC_0214037,3
ISIC_0214186,4
ISIC_0214335,4
ISIC_0214635,4
ISIC_0214903,3
ISIC_0215054,1
ISIC_0215112,3
ISIC_0215966,3
ISIC_0216296,2
ISIC_0216689,4
ISIC_0216690,2
ISIC_0217057,4
ISIC_0217111,4
ISIC_0217267,0
ISIC_0217818,3
ISIC_0218072,4
ISIC_0218575,3
ISIC_0218747,4
ISIC_0219450,1
ISIC_0219493,3
ISIC_0219948,0
ISIC_0220461,3
ISIC_0220649,1
ISIC_0220926,3
ISIC_0221351,1
ISIC_0221590,1
ISIC_0222117,1
ISIC_0222150,2
ISIC_0222299,2
ISIC_0223857,4
ISIC_0224295,3
ISIC_0224300,2
ISIC_0224397,3
ISIC_0224429,0
ISIC_0224678,2
ISIC_0224681,1
ISIC_0224919,2
ISIC_0224921,0
ISIC_0225245,4
ISIC_0225295,4
ISIC_0226034,4
ISIC_0226072,3
ISIC_0226137,3
ISIC_0227038,1
ISIC_0227532,3
ISIC_0228497,4
ISIC_0228659,2
ISIC_0228713,1
ISIC_0228718,0
ISIC_0228772,0
ISIC_0229265,1
ISIC_0229459,1
ISIC_0229510,1
ISIC_0229600,3
ISIC_0229656,1
ISIC_0229659,0
ISIC_0229680,3
ISIC_0229832,1
ISIC_0229871,3
ISIC_0230169,4
ISIC_0230209,0
ISIC_0230332,1
ISIC_0230516,4
ISIC_0230564,3
ISIC_0231167,2
ISIC_0231465,1
ISIC_0231745,1
ISIC_0231828,2
ISIC_0232101,2
ISIC_0232274,2
ISIC_0232767,2
ISIC_0232785,0
ISIC_0232963,2
ISIC_0233487,3
ISIC_0234038,3
ISIC_0234049,4
ISIC_0234096,2
ISIC_0234140,1
ISIC_0234146,1
ISIC_0234248,3
ISIC_0234894,0
ISIC_0235728,2
ISIC_0236237,3
ISIC_0236261,3
ISIC_0236510,2
ISIC_0236531,1
ISIC_0236739,4
ISIC_0236778,2
ISIC_0237514,3
ISIC_0237636,3
ISIC_0237721,1
ISIC_0237862,3
ISIC_0238002,3
ISIC_0238118,4
ISIC_0238215,2
ISIC_0238491,1
ISIC_0238570,1
ISIC_0238711,0
ISIC_0238824,4
ISIC_0238871,0
ISIC_0238940,4
ISIC_0239070,3
ISIC_0239178,1
ISIC_0239597,3
ISIC_0239810,2
ISIC_0239843,0
ISIC_0239949,3
ISIC_0240365,3
ISIC_0240628,1
ISIC_0240778,0
ISIC_0241109,2
ISIC_0242433,4
ISIC_0242571,0
ISIC_0242646,2
ISIC_0242801,4
ISIC_0243148,0
ISIC_0243160,1
ISIC_0243235,3
ISIC_0243683,2
ISIC_0243849,2
ISIC_0244197,4
ISIC_0244240,2
ISIC_0244877,0
ISIC_0245258,4
ISIC_0246090,4
ISIC_0246184,0
ISIC_0247197,2
ISIC_0247242,2
ISIC_0247330,2
ISIC_0247541,0
ISIC_0247964,0
ISIC_0248114,3
ISIC_0248218,3
ISIC_0248321,4
ISIC_0248521,3
ISIC_0248628,0
ISIC_0248936,0
ISIC_0249212,4
ISIC_0249269,0
ISIC_0249560,0
ISIC_0249982,2
ISIC_0250064,1
ISIC_0250069,3
ISIC_0250455,4
ISIC_0250839,2
ISIC_0250842,3
ISIC_0251149,1
ISIC_0252448,2
ISIC_0252649,1
ISIC_0253178,2
ISIC_0253367,4
ISIC_0253516,3
ISIC_0253871,4
ISIC_0254158,4
ISIC_0254447,4
ISIC_0254517,2
ISIC_0254686,2
ISIC_0254698,3
ISIC_0255205,3
ISIC_0255508,2
ISIC_0255796,4
ISIC_0255843,2
ISIC_0255914,2
ISIC_0255997,1
ISIC_0256715,3
ISIC_0256926,0
ISIC_0257447,0
ISIC_0257755,4
ISIC_0258061,4
ISIC_0258065,2
ISIC_0258806,0
ISIC_0258821,2
ISIC_0259179,1
ISIC_0259615,4
ISIC_0260290,0
ISIC_0260316,0
ISIC_0260475,4
ISIC_0261499,0
ISIC_0261693,4
ISIC_0261781,2
ISIC_0262276,0
ISIC_0262401,1
ISIC_0262618,3
ISIC_0262770,0
ISIC_0263178,0
ISIC_0263478,4
ISIC_0263522,3
ISIC_0263916,1
ISIC_0264941,4
ISIC_0265576,3
ISIC_0266468,2
ISIC_0266738,3
ISIC_0267054,4
ISIC_0267586,0
ISIC_0268080,1
ISIC_0268179,3
ISIC_0268187,0
ISIC_0268371,4
ISIC_0268557,2
ISIC_0268633,0
ISIC_0268701,1
ISIC_0268703,0
ISIC_0268784,3
ISIC_0268811,2
ISIC_0270101,3
ISIC_0270289,2
ISIC_0270582,2
ISIC_0271017,3
ISIC_0271121,4
ISIC_0271299,2
ISIC_0271408,4
ISIC_0271922,1
ISIC_0272026,4
ISIC_0272509,0
ISIC_0272567,1
ISIC_0273046,1
ISIC_0273222,4
ISIC_0273594,2
ISIC_0273664,0
ISIC_0273685,4
ISIC_0274382,2
ISIC_0274625,4
ISIC_0274900,1
ISIC_0275409,2
ISIC_0275661,1
ISIC_0275693,4
ISIC_0275783,0
ISIC_0275828,4
ISIC_0275984,4
ISIC_0276167,0
ISIC_0276435,1
ISIC_0277115,2
ISIC_0277164,4
ISIC_0277320,0
ISIC_0277340,4
ISIC_0277354,2
ISIC_0277705,0
ISIC_0277727,1
ISIC_0277859,4
ISIC_0278021,3
ISIC_0278116,0
ISIC_0278126,3
ISIC_0278130,2
ISIC_0278346,1
ISIC_0279526,1
ISIC_0280208,4
ISIC_0280404,2
ISIC_0280603,1
ISIC_0280749,0
ISIC_0280912,2
ISIC_0280943,3
ISIC_0281179,0
ISIC_0281286,0
ISIC_0281291,1
ISIC_0281404,3
ISIC_0281631,1
ISIC_0281658,2
ISIC_0281753,1
ISIC_0282040,0
ISIC_0282166,1
ISIC_0282281,2
ISIC_0282321,4
ISIC_0282422,1
ISIC_0282681,1
ISIC_0283463,2
ISIC_0283506,1
ISIC_0283511,3
ISIC_0283541,4
ISIC_0283957,0
ISIC_0284295,1
ISIC_0284422,0
ISIC_0284505,1
ISIC_0284664,0
ISIC_0285051,2
ISIC_0285095,3
ISIC_0285157,4
ISIC_0286360,2
ISIC_0286750,0
ISIC_0287510,2
ISIC_0287683,3
ISIC_0287784,0
ISIC_0287804,1
ISIC_0288421,0
ISIC_0288916,3
ISIC_0289191,3
ISIC_0289478,0
ISIC_0289491,4
ISIC_0290785,2
ISIC_0290881,2
ISIC_0291277,3
ISIC_0291282,3
ISIC_0291394,2
ISIC_0291473,2
ISIC_0291882,4
ISIC_0292158,4
ISIC_0292349,2
ISIC_0292616,2
ISIC_0292775,4
ISIC_0293086,4
ISIC_0293409,2
ISIC_0293416,1
ISIC_0293607,2
ISIC_0293967,4
ISIC_0294170,4
ISIC_0294249,2
ISIC_0294399,1
ISIC_0294687,3
ISIC_0294733,4
ISIC_0294910,2
ISIC_0295003,3
ISIC_0295104,4
ISIC_0295178,0
ISIC_0295323,0
ISIC_0295507,4
ISIC_0295820,0
ISIC_0296109,3
ISIC_0296580,2
ISIC_0296785,0
ISIC_0297032,0
ISIC_0297186,1
ISIC_0297558,2
ISIC_0297595,2
ISIC_0297795,2
ISIC_0298093,4
ISIC_0298274,1
ISIC_0299242,1
ISIC_0299504,0
ISIC_0299520,2
ISIC_0299741,0
ISIC_0300915,2
ISIC_0301191,4
ISIC_0301404,4
ISIC_0301568,4
ISIC_0301734,2
ISIC_0301931,4
ISIC_0302103,1
ISIC_0302441,3
ISIC_0302804,2
ISIC_0303196,1
ISIC_0303421,1
ISIC_0304019,3
ISIC_0304042,2
ISIC_0304649,0
ISIC_0304703,1
ISIC_0305250,1
ISIC_0305679,1
ISIC_0305798,1
ISIC_0305800,1
ISIC_0305842,3
ISIC_0305879,2
ISIC_0305928,3
ISIC_0307377,0
ISIC_0307909,3
ISIC_0307958,2
ISIC_0308127,3
ISIC_0308133,4
ISIC_0308722,4
ISIC_0308888,2
ISIC_0309317,1
ISIC_0309642,0
ISIC_0309912,2
ISIC_0310231,1
ISIC_0310341,3
ISIC_0310588,4
ISIC_0310734,4
ISIC_0311112,2
ISIC_0311369,3
ISIC_0311412,1
ISIC_0311783,4
ISIC_0311853,1
ISIC_0312662,3
ISIC_0313067,4
ISIC_0313422,4
ISIC_0313507,1
ISIC_0313653,2
ISIC_0313924,2
ISIC_0314462,1
ISIC_0315525,0
ISIC_0315631,1
ISIC_0316025,3
ISIC_0316484,1
ISIC_0316656,4
ISIC_0316668,4
ISIC_0316788,1
ISIC_0316826,1
ISIC_0316933,1
ISIC_0317589,0
ISIC_0317682,2
ISIC_0318642,0
ISIC_0319410,4
ISIC_0319491,4
ISIC_0319715,4
ISIC_0319928,3
ISIC_0320013,3
ISIC_0320227,2
ISIC_0320334,0
ISIC_0321114,3
ISIC_0322004,2
ISIC_0322340,3
ISIC_0322371,3
ISIC_0322637,4
ISIC_0322818,2
ISIC_0322967,0
ISIC_0323624,1
ISIC_0323792,0
ISIC_0324255,3
ISIC_0324380,3
ISIC_0324600,1
ISIC_0325416,2
ISIC_0325664,0
ISIC_0325761,4
ISIC_0325771,2
ISIC_0326523,3
ISIC_0326608,4
ISIC_0327120,2
ISIC_0327225,4
ISIC_0327406,1
ISIC_0329458,2
ISIC_0330567,1
ISIC_0331124,1
ISIC_0331159,2
ISIC_0331389,0
ISIC_0331767,3
ISIC_0331947,4
ISIC_0332337,3
ISIC_0332865,1
ISIC_0333051,0
ISIC_0333091,4
ISIC_0333102,0
