iteration,sampled_patient_clusters,sampled_rows,positive_count,m1_roc_auc,m2_roc_auc,roc_auc_difference_m2_minus_m1,m1_average_precision,m2_average_precision,average_precision_difference_m2_minus_m1,m1_sensitivity,m2_sensitivity,sensitivity_difference_m2_minus_m1
1,412,6461,125,0.9029015151515152,0.911135101010101,0.008233585858585801,0.18264212609965666,0.18734143644523363,0.004699310345576968,0.984,0.928,-0.05599999999999994
2,412,6657,107,0.900418063779696,0.9077748448312762,0.007356781051580219,0.16221895569630498,0.1599013564307968,-0.0023175992655081745,0.9906542056074766,0.9345794392523364,-0.05607476635514019
3,412,6565,114,0.9097243185471041,0.8962060825602994,-0.013518235986804683,0.2001082019531703,0.1653564812646768,-0.0347517206884935,0.9824561403508771,0.8947368421052632,-0.08771929824561397
4,412,6673,109,0.8900396379473245,0.8968854301192493,0.006845792171924714,0.08032959757081222,0.10154922275013414,0.021219625179321924,0.9724770642201835,0.9357798165137615,-0.03669724770642202
5,412,6218,118,0.8708127257571548,0.8723631564323424,0.001550430675187564,0.13051636551878967,0.14515341773512522,0.014637052216335544,0.9745762711864406,0.8898305084745762,-0.0847457627118644
6,412,6963,141,0.9112019727581395,0.9162097594141607,0.005007786656021196,0.15063381693073805,0.15339870803105876,0.0027648911003207155,0.9858156028368794,0.9574468085106383,-0.028368794326241065
7,412,6760,103,0.8864251222525088,0.8854844378718073,-0.0009406843807014953,0.12362132311036814,0.13482170991692521,0.011200386806557078,0.9514563106796117,0.8446601941747572,-0.10679611650485443
8,412,6358,149,0.9025099957736172,0.9123852472217748,0.009875251448157596,0.20618460394751004,0.20027691037173564,-0.005907693575774392,0.9865771812080537,0.9328859060402684,-0.05369127516778527
9,412,5912,128,0.9013415240318119,0.8848892148599585,-0.016452309171853363,0.21258366373478071,0.15819033010548383,-0.05439333362929688,0.9765625,0.9453125,-0.03125
10,412,6277,99,0.8800173963657292,0.8819924724748293,0.0019750761091000824,0.12012352908695584,0.09567138442452826,-0.02445214466242758,0.9696969696969697,0.9090909090909091,-0.06060606060606066
11,412,6712,90,0.8892613846102218,0.9089843618913387,0.019722977281116938,0.12113712693552972,0.13124522434184638,0.010108097406316657,0.9666666666666667,0.9444444444444444,-0.022222222222222254
12,412,6849,118,0.8803764016226465,0.8861528621682124,0.005776460545565909,0.14366773649709222,0.14690228101161706,0.0032345445145248453,0.9576271186440678,0.8559322033898306,-0.10169491525423724
13,412,6085,109,0.8957665524483254,0.8847668963315034,-0.010999656116821965,0.18680447091004374,0.18255800907871672,-0.004246461831327014,0.9724770642201835,0.8807339449541285,-0.09174311926605505
14,412,7018,104,0.9079696157183864,0.8969329231659287,-0.01103669255245776,0.2235543613715577,0.1845785582934438,-0.03897580307811391,0.9423076923076923,0.8653846153846154,-0.07692307692307687
15,412,6411,100,0.9210869909681508,0.9214656948185709,0.00037870385042004795,0.22542517437186987,0.19417100272054444,-0.031254171651325435,0.97,0.93,-0.039999999999999925
16,412,6855,134,0.8907201087258247,0.8988545592229302,0.008134450497105483,0.15340021913039753,0.165672617187167,0.012272398056769468,0.9701492537313433,0.8805970149253731,-0.08955223880597019
17,412,6578,143,0.8913698578034243,0.8876076526426177,-0.0037622051608066087,0.13819474562155865,0.16346311215110948,0.025268366529550834,0.965034965034965,0.8811188811188811,-0.08391608391608385
18,412,6443,123,0.9076219512195123,0.895074354224555,-0.012547596994957333,0.2167751585259975,0.19831980545675432,-0.018455353069243174,0.983739837398374,0.926829268292683,-0.05691056910569103
19,412,6702,120,0.910261571963942,0.9070216752760052,-0.003239896687936783,0.23451715940643358,0.22577991757335675,-0.008737241833076836,0.975,0.9333333333333333,-0.04166666666666663
20,412,6222,105,0.9010081194485313,0.8985232412402595,-0.0024848782082718124,0.171091318612947,0.1703688222378976,-0.0007224963750493973,0.9904761904761905,0.8952380952380953,-0.09523809523809523
21,412,6514,134,0.9232863893697656,0.9245520048659523,0.001265615496186756,0.23307008903095267,0.2302677545137232,-0.002802334517229471,0.9925373134328358,0.9328358208955224,-0.05970149253731338
22,412,6622,116,0.9126893477638679,0.9111417047393917,-0.0015476430244761863,0.1757196099583635,0.1795276838858461,0.0038080739274826136,0.9741379310344828,0.9310344827586207,-0.0431034482758621
23,412,7279,126,0.8954773111071168,0.8863707979114103,-0.009106513195706545,0.15411777494663814,0.16697007487905413,0.01285229993241599,0.9682539682539683,0.8809523809523809,-0.08730158730158732
24,412,6424,111,0.9107119157808212,0.9091007687554495,-0.0016111470253716842,0.18174980056856174,0.18383499407895057,0.0020851935103888275,0.963963963963964,0.9279279279279279,-0.03603603603603611
25,412,6008,110,0.8889269089676007,0.8896605937297697,0.0007336847621689513,0.14433408340783907,0.1331611398599098,-0.011172943547929276,0.990909090909091,0.9363636363636364,-0.054545454545454564
26,412,6361,110,0.8837887756140836,0.8954421837960471,0.011653408181963476,0.15253871703954963,0.16061914818900147,0.008080431149451839,0.9727272727272728,0.9090909090909091,-0.06363636363636371
27,412,6576,94,0.8972851168866977,0.9029062477433416,0.005621130856643952,0.12103741473323143,0.15638530858015814,0.035347893846926715,0.9787234042553191,0.9361702127659575,-0.04255319148936165
28,412,6588,119,0.9026397388449892,0.8968850795844694,-0.005754659260519768,0.21972009730371925,0.1581979614883668,-0.06152213581535246,0.9663865546218487,0.907563025210084,-0.05882352941176472
29,412,6740,117,0.9029940985248248,0.8912401873295729,-0.011753911195251932,0.14123417653879475,0.1493265798157761,0.008092403276981353,0.9829059829059829,0.8888888888888888,-0.09401709401709402
30,412,5806,96,0.9017622591943958,0.9034032034442497,0.0016409442498539484,0.2052094154598363,0.15464444381521988,-0.0505649716446164,0.9791666666666666,0.90625,-0.07291666666666663
31,412,6816,114,0.8768081798049286,0.8824493343175904,0.0056411545126617835,0.17259968973458442,0.156445454895627,-0.01615423483895742,0.9824561403508771,0.8596491228070176,-0.12280701754385959
32,412,7337,123,0.9156822438753913,0.9174375254980718,0.0017552816226804602,0.12468823413796186,0.12800881527544916,0.0033205811374873023,0.991869918699187,0.959349593495935,-0.03252032520325199
33,412,6938,114,0.8757404208058246,0.8680122786450299,-0.007728142160794649,0.12923920124185603,0.14971852194139418,0.020479320699538145,0.9649122807017544,0.8596491228070176,-0.10526315789473684
34,412,6821,119,0.8966481847886871,0.8993019768337058,0.002653792045018699,0.17557299733396248,0.15157822249833158,-0.023994774835630894,0.9747899159663865,0.8991596638655462,-0.07563025210084029
35,412,6726,112,0.9251722536610654,0.9206593697351937,-0.00451288392587168,0.26189703329320974,0.19114192253145543,-0.07075511076175431,0.9910714285714286,0.9285714285714286,-0.0625
36,412,6476,138,0.9166952497244594,0.9111135501987095,-0.005581699525749828,0.26882374618027494,0.21122967467414355,-0.057594071506131383,0.9710144927536232,0.9057971014492754,-0.06521739130434778
37,412,6975,124,0.8976097202668788,0.9009721914860558,0.003362471219176988,0.14619277208859338,0.1340024303814681,-0.012190341707125268,0.9919354838709677,0.9193548387096774,-0.07258064516129037
38,412,6220,122,0.8955207028372646,0.9049634655812979,0.009442762744033328,0.18177314545200293,0.1663338163188665,-0.01543932913313642,0.9836065573770492,0.9426229508196722,-0.040983606557376984
39,412,7412,117,0.9028171736876329,0.899720567301102,-0.0030966063865309756,0.19565500079523201,0.18725267085725006,-0.008402329937981956,0.9743589743589743,0.8717948717948718,-0.10256410256410253
40,412,6732,99,0.9006909133548663,0.8770213822226487,-0.02366953113221759,0.16121694991915017,0.1418422700949397,-0.019374679824210483,0.9696969696969697,0.8383838383838383,-0.13131313131313138
41,412,6673,112,0.9021626711955931,0.9032976244910401,0.0011349532954469943,0.15344986255973234,0.16501419239964232,0.011564329839909987,0.9821428571428571,0.9464285714285714,-0.0357142857142857
42,412,6236,115,0.896831293551068,0.8906061101127267,-0.006225183438341331,0.14994142584096315,0.1266283079288513,-0.023313117912111853,0.991304347826087,0.9304347826086956,-0.0608695652173914
43,412,6754,123,0.9141136789138967,0.8948704839182308,-0.019243194995665958,0.16926108299960144,0.15953308752766016,-0.009727995471941281,0.967479674796748,0.8861788617886179,-0.08130081300813008
44,412,6370,113,0.9036477375428016,0.9029483438725618,-0.0006993936702397452,0.20962226216897967,0.2052735266664353,-0.00434873550254436,0.9557522123893806,0.9026548672566371,-0.053097345132743445
45,412,6873,100,0.8967518086520005,0.8913243761996161,-0.0054274324523844175,0.15305672873517234,0.14568085119260038,-0.0073758775425719625,0.95,0.89,-0.05999999999999994
46,412,6171,120,0.888388971519859,0.8903955269101526,0.002006555390293596,0.1591729582807071,0.14813384093092455,-0.011039117349782551,0.9666666666666667,0.875,-0.09166666666666667
47,412,6755,123,0.8897290299802878,0.8761535594849315,-0.013575470495356345,0.17110659960058283,0.16196742289384627,-0.009139176706736557,0.983739837398374,0.8536585365853658,-0.13008130081300817
48,412,6600,107,0.9073711300883338,0.9045600510110817,-0.0028110790772520877,0.16716940432906638,0.14900716883009513,-0.018162235498971252,0.9813084112149533,0.9065420560747663,-0.07476635514018692
49,412,6446,105,0.8912849858442036,0.8728411471827336,-0.018443838661469925,0.1696237799526382,0.17009202864831047,0.00046824869567227423,0.9714285714285714,0.8666666666666667,-0.10476190476190472
50,412,6970,122,0.8980628542975333,0.9087959150451967,0.010733060747663448,0.16341299150789554,0.16273830997084401,-0.0006746815370515247,0.9918032786885246,0.9426229508196722,-0.0491803278688524
51,412,6679,93,0.8835179869975086,0.8831032917658507,-0.00041469523165793554,0.12817984548551453,0.11635538899608187,-0.011824456489432658,0.978494623655914,0.8817204301075269,-0.09677419354838712
52,412,6801,118,0.9016160407002842,0.9072551908840291,0.005639150183744834,0.15755865863837965,0.14765684705742313,-0.009901811580956515,0.9915254237288136,0.9152542372881356,-0.07627118644067798
