group_variable,group_value,M1_roc_auc,M1_average_precision,M1_sensitivity,M1_specificity,M1_precision,M1_f1,M2_roc_auc,M2_average_precision,M2_sensitivity,M2_specificity,M2_precision,M2_f1,N,positive_count,small_positive_count,delta_roc_auc,delta_average_precision,delta_sensitivity,delta_specificity
sex,female,0.8868321469210617,0.1276619014639031,0.9347826086956522,0.6409007912355448,0.03515944399018806,0.0677698975571316,0.8659927492127338,0.12520783855082362,0.8260869565217391,0.7382836275106512,0.042316258351893093,0.08050847457627118,3332,46,False,-0.020839397708327878,-0.00245406291307948,-0.10869565217391308,0.09738283627510647
sex,male,0.9090535770453989,0.2127835364882943,1.0,0.6141439205955335,0.05399239543726236,0.10245310245310245,0.9162749449550903,0.19823754592658105,0.9436619718309859,0.733560794044665,0.07235421166306695,0.13440320962888666,3295,71,False,0.007221367909691412,-0.01454599056171324,-0.05633802816901412,0.11941687344913154
age,<40,0.899230929120765,0.08116548898621254,0.9411764705882353,0.6247349823321555,0.029250457038391225,0.05673758865248227,0.8766992309291208,0.06602242788481755,0.7647058823529411,0.7795053003533569,0.04,0.07602339181286549,1432,17,False,-0.022531698191644134,-0.015143061101394989,-0.17647058823529416,0.15477031802120134
age,40-59,0.8780988459901705,0.11387662383662261,0.9512195121951219,0.6534382483749572,0.0370722433460076,0.07136322049405307,0.870551471508557,0.122075639039014,0.8292682926829268,0.7714676702018474,0.04843304843304843,0.09152086137281291,2964,41,False,-0.007547374481613467,0.008199015202391385,-0.12195121951219512,0.11802942182689014
age,60+,0.9125542341667447,0.25858527758796795,1.0,0.5948434622467772,0.06283280085197018,0.11823647294589178,0.91433342697506,0.23417755927255807,0.9830508474576272,0.6597605893186004,0.07277289836888332,0.13551401869158877,2231,59,False,0.0017791928083152886,-0.024407718315409888,-0.016949152542372836,0.06491712707182318
site,head/neck,0.8166666666666667,0.1736099261913368,0.9375,0.4142857142857143,0.05747126436781609,0.10830324909747292,0.865625,0.20169924774037068,0.9375,0.4928571428571429,0.06578947368421052,0.12295081967213115,436,16,False,0.048958333333333326,0.028089321549033874,0.0,0.07857142857142857
site,lower extremity,0.8913215832164421,0.15152625092060987,0.9473684210526315,0.6460023174971031,0.028616852146263912,0.05555555555555555,0.8930901994267244,0.16923148160254264,0.9473684210526315,0.7450753186558516,0.039301310043668124,0.07547169811320754,1745,19,False,0.0017686162102823477,0.017705230681932776,0.0,0.09907300115874851
site,oral/genital,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.25,0.9523809523809524,0.8333333333333333,1.0,0.6666666666666666,0.3,0.46153846153846156,24,3,True,-0.04761904761904756,-0.16666666666666674,0.0,0.5238095238095237
site,palms/soles,0.971830985915493,0.3333333333333333,1.0,0.3380281690140845,0.020833333333333332,0.04081632653061224,0.6619718309859155,0.04,1.0,0.6056338028169014,0.034482758620689655,0.06666666666666667,72,1,True,-0.3098591549295775,-0.29333333333333333,0.0,0.2676056338028169
site,torso,0.9110460938302023,0.1750252610712859,0.9814814814814815,0.651370495842316,0.04472573839662447,0.08555286521388217,0.9041394335511982,0.1728371056620698,0.8888888888888888,0.7631659993840468,0.0587515299877601,0.11021814006888633,3301,54,False,-0.0069066602790041065,-0.0021881554092161026,-0.09259259259259267,0.11179550354173085
site,unknown,1.0,1.0,1.0,0.6534653465346535,0.027777777777777776,0.05405405405405406,0.9603960396039604,0.2,1.0,0.6831683168316832,0.030303030303030304,0.058823529411764705,102,1,True,-0.03960396039603964,-0.8,0.0,0.02970297029702973
site,upper extremity,0.8908338038772821,0.23207019212455277,1.0,0.6374458874458875,0.06424581005586592,0.12073490813648294,0.8921513269339356,0.1875119094674644,0.8260869565217391,0.7510822510822511,0.07630522088353414,0.13970588235294118,947,23,False,0.0013175230566535578,-0.04455828265708836,-0.17391304347826086,0.11363636363636365
