model,group_variable,group_value,N,negative_count,positive_count,prevalence,roc_auc,average_precision,metric_defined,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp,small_positive_count
M1,sex,female,3332,3286,46,0.013805522208883553,0.8868321469210617,0.1276619014639031,True,0.6449579831932774,0.7878416999655985,0.03515944399018806,0.9347826086956522,0.6409007912355448,0.0677698975571316,2106,1180,3,43,False
M1,sex,male,3295,3224,71,0.021547799696509863,0.9090535770453989,0.2127835364882943,True,0.6224582701062216,0.8070719602977667,0.05399239543726236,1.0,0.6141439205955335,0.10245310245310245,1980,1244,0,71,False
M1,age,<40,1432,1415,17,0.011871508379888268,0.899230929120765,0.08116548898621254,True,0.6284916201117319,0.7829557264601954,0.029250457038391225,0.9411764705882353,0.6247349823321555,0.05673758865248227,884,531,1,16,False
M1,age,40-59,2964,2923,41,0.013832658569500675,0.8780988459901705,0.11387662383662261,True,0.6575573549257759,0.8023288802850396,0.0370722433460076,0.9512195121951219,0.6534382483749572,0.07136322049405307,1910,1013,2,39,False
M1,age,60+,2231,2172,59,0.026445540116539667,0.9125542341667447,0.25858527758796795,True,0.6055580457194083,0.7974217311233887,0.06283280085197018,1.0,0.5948434622467772,0.11823647294589178,1292,880,0,59,False
M1,site,head/neck,436,420,16,0.03669724770642202,0.8166666666666667,0.1736099261913368,True,0.4334862385321101,0.6758928571428572,0.05747126436781609,0.9375,0.4142857142857143,0.10830324909747292,174,246,1,15,False
M1,site,lower extremity,1745,1726,19,0.010888252148997135,0.8913215832164421,0.15152625092060987,True,0.6492836676217765,0.7966853692748673,0.028616852146263912,0.9473684210526315,0.6460023174971031,0.05555555555555555,1115,611,1,18,False
M1,site,oral/genital,24,21,3,0.125,1.0,1.0,True,0.25,0.5714285714285714,0.14285714285714285,1.0,0.14285714285714285,0.25,3,18,0,3,True
M1,site,palms/soles,72,71,1,0.013888888888888888,0.971830985915493,0.3333333333333333,True,0.3472222222222222,0.6690140845070423,0.020833333333333332,1.0,0.3380281690140845,0.04081632653061224,24,47,0,1,True
M1,site,torso,3301,3247,54,0.016358679188124812,0.9110460938302023,0.1750252610712859,True,0.6567706755528627,0.8164259886618987,0.04472573839662447,0.9814814814814815,0.651370495842316,0.08555286521388217,2115,1132,1,53,False
M1,site,unknown,102,101,1,0.00980392156862745,1.0,1.0,True,0.6568627450980392,0.8267326732673268,0.027777777777777776,1.0,0.6534653465346535,0.05405405405405406,66,35,0,1,True
M1,site,upper extremity,947,924,23,0.024287222808870117,0.8908338038772821,0.23207019212455277,True,0.6462513199577613,0.8187229437229437,0.06424581005586592,1.0,0.6374458874458875,0.12073490813648294,589,335,0,23,False
