figure_id,figure_path_png,figure_path_pdf,intended_location,source_files,generation_script_or_notebook,primary_message,interpretation_boundary
Fig_Main_01,outputs/final/figures/main/Fig_Main_01_Pipeline.png,outputs/final/figures/main/Fig_Main_01_Pipeline.pdf,main paper,outputs/final/tables/dataset_summary.csv; outputs/final/tables/deep_model_protocol.csv; outputs/final/manifests/comparison_boundaries.json; notebooks/02_results_analysis.ipynb,src/publication_assets.py,Frozen project workflow and evaluation boundaries.,"Fold 0 is fixed patient-aware validation; no external cohort, segmentation, or unsupported architecture is implied."
Fig_Main_02,outputs/final/figures/main/Fig_Main_02_ThresholdTradeoff.png,outputs/final/figures/main/Fig_Main_02_ThresholdTradeoff.pdf,main paper,outputs/final/tables/threshold_summary.csv,src/publication_assets.py,M1/M2 operating-point trade-offs across the fixed threshold grid.,Exploratory threshold behaviour; 0.5 remains the primary comparison point.
Fig_App_01,outputs/final/figures/appendix/Fig_App_01_ClassDistribution.png,outputs/final/figures/appendix/Fig_App_01_ClassDistribution.pdf,appendix,outputs/final/tables/dataset_summary.csv,src/publication_assets.py,Class counts and melanoma prevalence by partition.,Descriptive class-distribution evidence only.
Fig_App_02,outputs/final/figures/appendix/Fig_App_02_TrainingCurves.png,outputs/final/figures/appendix/Fig_App_02_TrainingCurves.pdf,appendix,outputs/final/tables/training_summary.csv,src/publication_assets.py,Frozen deep-model loss and validation ranking histories.,Checkpoint epoch is selected by validation ROC-AUC; no training ranking metric is inferred.
Fig_App_03,outputs/final/figures/appendix/Fig_App_03_ConfusionMatrices.png,outputs/final/figures/appendix/Fig_App_03_ConfusionMatrices.pdf,appendix,outputs/final/tables/main_model_results.csv,src/publication_assets.py,Threshold-0.5 validation confusion counts for B0/M1/M2.,Operating-point counts on the fixed validation fold.
Fig_App_04,outputs/final/figures/appendix/Fig_App_04_ROC_PR.png,outputs/final/figures/appendix/Fig_App_04_ROC_PR.pdf,appendix,outputs/predictions/H0_logistic_unweighted.csv; outputs/predictions/H1_logistic_weighted.csv; outputs/predictions/B0_resnet18.csv; outputs/predictions/M1_convnext_image.csv; outputs/predictions/M2_convnext_metadata.csv; outputs/final/tables/main_model_results.csv,src/publication_assets.py,Five-model validation ROC and precision-recall curves.,AP is Average Precision; curves reuse the fixed Fold-0 validation predictions.
Fig_App_05,outputs/final/figures/appendix/Fig_App_05_Bootstrap.png,outputs/final/figures/appendix/Fig_App_05_Bootstrap.pdf,appendix,outputs/analysis/bootstrap/M1_M2_bootstrap_samples.csv; outputs/final/tables/bootstrap_summary.csv,src/publication_assets.py,M2-minus-M1 paired bootstrap difference distributions.,Internal paired patient-level bootstrap; not external validation or a significance test.
Fig_App_06,outputs/final/figures/appendix/Fig_App_06_FailureCases.png,outputs/final/figures/appendix/Fig_App_06_FailureCases.pdf,appendix,outputs/analysis/failures/M2_failure_cases.csv; outputs/analysis/failures/M2_failure_review.csv; outputs/analysis/data_integrity/exact_image_duplicates.csv,src/publication_assets.py,Content-unique M2 qualitative review cases.,Descriptive visual review; no artifact is established as a causal failure mechanism.
Fig_App_07,outputs/final/figures/appendix/Fig_App_07_GradCAM.png,outputs/final/figures/appendix/Fig_App_07_GradCAM.pdf,appendix,outputs/figures/I_gradcam.png; outputs/analysis/gradcam/M2_gradcam_summary.json,src/publication_assets.py,Frozen M2 melanoma-logit Grad-CAM overview.,Image-branch attribution conditioned on metadata; not metadata explanation or causality.
Fig_App_08,outputs/final/figures/appendix/Fig_App_08_Subgroups.png,outputs/final/figures/appendix/Fig_App_08_Subgroups.pdf,appendix,outputs/final/tables/subgroup_summary.csv,src/publication_assets.py,M1/M2 sensitivity and specificity across exploratory subgroups.,Internal exploratory analysis; sparse-positive groups do not support strong bias claims.
