metric,M1,M2,M2_minus_M1,M1_parameters,M2_parameters,parameter_difference,M1_actual_epochs,M2_actual_epochs,M1_duration,M2_duration,comparison_type,interpretation_boundary
roc_auc,0.9008481363320072,0.8974457442199376,-0.0034023921120696077,27820897,27821313,416,7,10,767.4979752000072,1080.5029657999985,metadata-fusion system ablation,per-sample probability differences are not causal metadata effects
average_precision,0.16940561068661716,0.16529159783403521,-0.00411401285258195,27820897,27821313,416,7,10,767.4979752000072,1080.5029657999985,metadata-fusion system ablation,per-sample probability differences are not causal metadata effects
accuracy,0.6337709370755998,0.7387958352195564,0.10502489814395655,27820897,27821313,416,7,10,767.4979752000072,1080.5029657999985,metadata-fusion system ablation,per-sample probability differences are not causal metadata effects
balanced_accuracy,0.8010043719721138,0.8166902989483635,0.01568592697624971,27820897,27821313,416,7,10,767.4979752000072,1080.5029657999985,metadata-fusion system ablation,per-sample probability differences are not causal metadata effects
precision,0.04491725768321513,0.05756578947368421,0.012648531790469077,27820897,27821313,416,7,10,767.4979752000072,1080.5029657999985,metadata-fusion system ablation,per-sample probability differences are not causal metadata effects
sensitivity,0.9743589743589743,0.8974358974358975,-0.07692307692307687,27820897,27821313,416,7,10,767.4979752000072,1080.5029657999985,metadata-fusion system ablation,per-sample probability differences are not causal metadata effects
specificity,0.6276497695852534,0.7359447004608295,0.10829493087557607,27820897,27821313,416,7,10,767.4979752000072,1080.5029657999985,metadata-fusion system ablation,per-sample probability differences are not causal metadata effects
f1,0.08587570621468926,0.10819165378670788,0.022315947572018616,27820897,27821313,416,7,10,767.4979752000072,1080.5029657999985,metadata-fusion system ablation,per-sample probability differences are not causal metadata effects
tn,4086.0,4791.0,705.0,27820897,27821313,416,7,10,767.4979752000072,1080.5029657999985,metadata-fusion system ablation,per-sample probability differences are not causal metadata effects
fp,2424.0,1719.0,-705.0,27820897,27821313,416,7,10,767.4979752000072,1080.5029657999985,metadata-fusion system ablation,per-sample probability differences are not causal metadata effects
fn,3.0,12.0,9.0,27820897,27821313,416,7,10,767.4979752000072,1080.5029657999985,metadata-fusion system ablation,per-sample probability differences are not causal metadata effects
tp,114.0,105.0,-9.0,27820897,27821313,416,7,10,767.4979752000072,1080.5029657999985,metadata-fusion system ablation,per-sample probability differences are not causal metadata effects
