model,group_variable,group_value,n,positive_count,negative_count,prevalence,roc_auc,average_precision,sensitivity,specificity,precision,f1,small_positive_count
M1,sex,female,3332,46,3286,0.0138055222088835,0.8868321469210617,0.1276619014639031,0.9347826086956522,0.6409007912355448,0.035159443990188,0.0677698975571316,False
M1,sex,male,3295,71,3224,0.0215477996965098,0.9090535770453988,0.2127835364882943,1.0,0.6141439205955335,0.0539923954372623,0.1024531024531024,False
M1,age,<40,1432,17,1415,0.0118715083798882,0.899230929120765,0.0811654889862125,0.9411764705882352,0.6247349823321555,0.0292504570383912,0.0567375886524822,False
M1,age,40-59,2964,41,2923,0.0138326585695006,0.8780988459901705,0.1138766238366226,0.951219512195122,0.6534382483749572,0.0370722433460076,0.071363220494053,False
M1,age,60+,2231,59,2172,0.0264455401165396,0.9125542341667447,0.2585852775879679,1.0,0.5948434622467772,0.0628328008519701,0.1182364729458917,False
M1,site,head/neck,436,16,420,0.036697247706422,0.8166666666666667,0.1736099261913368,0.9375,0.4142857142857143,0.057471264367816,0.1083032490974729,False
M1,site,lower extremity,1745,19,1726,0.0108882521489971,0.8913215832164421,0.1515262509206098,0.9473684210526316,0.6460023174971031,0.0286168521462639,0.0555555555555555,False
M1,site,oral/genital,24,3,21,0.125,1.0,1.0,1.0,0.1428571428571428,0.1428571428571428,0.25,True
M1,site,palms/soles,72,1,71,0.0138888888888888,0.971830985915493,0.3333333333333333,1.0,0.3380281690140845,0.0208333333333333,0.0408163265306122,True
M1,site,torso,3301,54,3247,0.0163586791881248,0.9110460938302024,0.1750252610712859,0.9814814814814816,0.651370495842316,0.0447257383966244,0.0855528652138821,False
M1,site,unknown,102,1,101,0.0098039215686274,1.0,1.0,1.0,0.6534653465346535,0.0277777777777777,0.054054054054054,True
M1,site,upper extremity,947,23,924,0.0242872228088701,0.8908338038772821,0.2320701921245527,1.0,0.6374458874458875,0.0642458100558659,0.1207349081364829,False
M2,sex,female,3332,46,3286,0.0138055222088835,0.8659927492127338,0.1252078385508236,0.8260869565217391,0.7382836275106512,0.042316258351893,0.0805084745762711,False
M2,sex,male,3295,71,3224,0.0215477996965098,0.9162749449550904,0.198237545926581,0.943661971830986,0.733560794044665,0.0723542116630669,0.1344032096288866,False
M2,age,<40,1432,17,1415,0.0118715083798882,0.8766992309291208,0.0660224278848175,0.7647058823529411,0.7795053003533569,0.04,0.0760233918128654,False
M2,age,40-59,2964,41,2923,0.0138326585695006,0.870551471508557,0.122075639039014,0.8292682926829268,0.7714676702018474,0.0484330484330484,0.0915208613728129,False
M2,age,60+,2231,59,2172,0.0264455401165396,0.91433342697506,0.234177559272558,0.9830508474576272,0.6597605893186004,0.0727728983688833,0.1355140186915887,False
M2,site,head/neck,436,16,420,0.036697247706422,0.865625,0.2016992477403706,0.9375,0.4928571428571429,0.0657894736842105,0.1229508196721311,False
M2,site,lower extremity,1745,19,1726,0.0108882521489971,0.8930901994267244,0.1692314816025426,0.9473684210526316,0.7450753186558516,0.0393013100436681,0.0754716981132075,False
M2,site,oral/genital,24,3,21,0.125,0.9523809523809524,0.8333333333333333,1.0,0.6666666666666666,0.3,0.4615384615384615,True
M2,site,palms/soles,72,1,71,0.0138888888888888,0.6619718309859155,0.04,1.0,0.6056338028169014,0.0344827586206896,0.0666666666666666,True
M2,site,torso,3301,54,3247,0.0163586791881248,0.9041394335511982,0.1728371056620698,0.8888888888888888,0.7631659993840468,0.0587515299877601,0.1102181400688863,False
M2,site,unknown,102,1,101,0.0098039215686274,0.9603960396039604,0.2,1.0,0.6831683168316832,0.0303030303030303,0.0588235294117647,True
M2,site,upper extremity,947,23,924,0.0242872228088701,0.8921513269339356,0.1875119094674644,0.8260869565217391,0.7510822510822511,0.0763052208835341,0.1397058823529411,False
