model,threshold,precision,sensitivity,specificity,f1,balanced_accuracy,tp,fp,fn,tn,predicted_positive_count,is_primary_threshold
M1,0.1,0.033106960950764,1.0,0.4751152073732719,0.0640920295809367,0.7375576036866359,117,3417,0,3093,3534,False
M1,0.2,0.0349045346062052,1.0,0.5030721966205837,0.0674545978668204,0.7515360983102919,117,3235,0,3275,3352,False
M1,0.3,0.0372611464968152,1.0,0.5356374807987712,0.0718452563708934,0.7678187403993856,117,3023,0,3487,3140,False
M1,0.4,0.0401384083044982,0.9914529914529916,0.5738863287250384,0.0771533089457931,0.782669660089015,116,2774,1,3736,2890,False
M1,0.5,0.0449172576832151,0.9743589743589745,0.6276497695852534,0.0858757062146892,0.8010043719721138,114,2424,3,4086,2538,True
M1,0.6,0.0529327610872675,0.9487179487179488,0.6949308755760368,0.1002710027100271,0.8218244121469928,111,1986,6,4524,2097,False
M1,0.7,0.0627746390458254,0.8547008547008547,0.7706605222734255,0.1169590643274853,0.81268068848714,100,1493,17,5017,1593,False
M1,0.8,0.0892678034102306,0.7606837606837606,0.8605222734254993,0.1597845601436265,0.8106030170546299,89,908,28,5602,997,False
M1,0.9,0.15,0.3846153846153846,0.9608294930875576,0.2158273381294964,0.6727224388514711,45,255,72,6255,300,False
M2,0.1,0.0364702051449039,0.9572649572649572,0.545468509984639,0.0702634880803011,0.7513667336247982,112,2959,5,3551,3071,False
M2,0.2,0.0407420880320116,0.9572649572649572,0.5949308755760369,0.0781577110956036,0.7760979164204971,112,2637,5,3873,2749,False
M2,0.3,0.0444535073409461,0.9316239316239316,0.6400921658986175,0.0848579213701829,0.7858580487612745,109,2343,8,4167,2452,False
M2,0.4,0.0502793296089385,0.9230769230769232,0.6866359447004609,0.095364238410596,0.804856433888692,108,2040,9,4470,2148,False
M2,0.5,0.0575657894736842,0.8974358974358975,0.7359447004608295,0.1081916537867078,0.8166902989483635,105,1719,12,4791,1824,True
M2,0.6,0.0686607749830047,0.8632478632478633,0.7895545314900153,0.1272040302267002,0.8264011973689394,101,1370,16,5140,1471,False
M2,0.7,0.0880974695407685,0.8034188034188035,0.8505376344086022,0.1587837837837837,0.8269782189137028,94,973,23,5537,1067,False
M2,0.8,0.1180030257186081,0.6666666666666666,0.9104454685099846,0.2005141388174807,0.7885560675883256,78,583,39,5927,661,False
M2,0.9,0.1464435146443514,0.2991452991452991,0.968663594470046,0.196629213483146,0.6339044468076727,35,204,82,6306,239,False
